Userid,Marital status,Application mode,Application order,Course,Morning shift participation,Previous qualification,Previous qualification score,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Entry score,Displaced,Special needs,Debtor,Regularized Fees,Gender_Male,External Funding,Age at enrollment,International,N units credited 1st period,N units taken 1st period,N scored units 1st period,N units approved 1st period,Average grade 1st period,N unscored units 1st period,N units credited 2nd period,N units taken 2nd period,N scored units 2nd period,N units approved 2nd period,Average grade 2nd period,N unscored units 2nd period,Success,Social Popularity,Registered,Observations
699,single,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,140.0,Portuguese,12th grade,6th grade,Unskilled Worker,Politician/CEO,140.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,6.0,12.0,5.0,12.6,0.0,0.0,6.0,11.0,6.0,11.714285714285714,0.0,Succeeded,70,Yes,
456,married,0.0,1.0,Social Service (evening attendance),0.0,12th grade,130.0,Portuguese,,,,,114.8,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,6.0,9.0,6.0,11.166666666666666,0.0,1.0,6.0,15.0,2.0,11.0,1.0,Succeeded,55,Yes,
647,single,1.0,1.0,Social Service,1.0,12th grade,135.0,Portuguese,4th grade,12th grade,Superior-level Professional,Private Security,121.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,11.0,5.0,11.2,0.0,0.0,6.0,15.0,1.0,10.0,0.0,Holding on,67,Yes,
383,single,1.0,1.0,Social Service,1.0,12th grade,135.0,Portuguese,6th grade,6th grade,Private Security,Engineer,121.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,6.0,13.0,3.0,10.333333333333334,0.0,0.0,6.0,12.0,3.0,10.333333333333334,0.0,Holding on,93,Yes,
1217,single,2.0,4.0,Social Service,1.0,12th grade,124.0,Portuguese,9th grade,9th grade,Private Security,Assembly Worker,117.7,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,10.0,5.0,12.0,0.0,0.0,6.0,11.0,,12.0,0.0,Succeeded,43,Yes,
669,single,2.0,5.0,Nursing,1.0,12th grade,148.0,Portuguese,12th grade,9th grade,Administrative Staff,Assembly Worker,130.2,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Gave up,13,Yes,
2801,single,1.0,1.0,Tourism,1.0,12th grade,145.0,Portuguese,Bachelor degree,9th grade,Superior-level Professional,Assembly Worker,134.9,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,15.5,0.0,0.0,6.0,6.0,6.0,16.0,0.0,Succeeded,80,Yes,
3145,single,1.0,1.0,Social Service,1.0,12th grade,165.0,Portuguese,4th grade,6th grade,Unskilled Worker,Assembly Worker,152.4,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,8.0,6.0,15.5,0.0,,6.0,7.0,6.0,14.285714285714286,0.0,Succeeded,33,Yes,
336,single,0.0,1.0,Social Service,1.0,12th grade - Technological specialization course,140.0,Portuguese,6th grade,4th grade,Engineer,Engineer,143.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,3.0,6.0,6.0,6.0,13.333333333333334,0.0,2.0,6.0,6.0,6.0,14.666666666666666,0.0,Succeeded,95,Yes,
3793,single,3.0,1.0,Informatics Engineering,1.0,12th grade,122.0,Portuguese,9th grade,12th grade,Other,Superior-level Professional,116.1,1.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,Gave up,62,Yes,
